"S01F1","S01F2","S01F3","S01F4","S01F5","S01F6","S01F7","S02F1","S02F2","S02F3","S02F4","S02F5","S02F6","S02F7","S03F1","S03F2","S03F3","S03F4","S03F5","S03F6","S03F7","S04F1","S04F2","S04F3","S04F4","S04F5","S04F6","S04F7","S05F1","S05F2","S05F3","S05F4","S05F5","S05F6","S05F7","S06F1","S06F2","S06F3","S06F4","S06F5","S06F6","S06F7","S07F1","S07F2","S07F3","S07F4","S07F5","S07F6","S07F7","S08F1","S08F2","S08F3","S08F4","S08F5","S08F6","S08F7","S09F1","S09F2","S09F3","S09F4","S09F5","S09F6","S09F7","S10F1","S10F2","S10F3","S10F4","S10F5","S10F6","S10F7","S11F1","S11F2","S11F3","S11F4","S11F5","S11F6","S11F7","S12F1","S12F2","S12F3","S12F4","S12F5","S12F6","S12F7","S13F1","S13F2","S13F3","S13F4","S13F5","S13F6","S13F7","S14F1","S14F2","S14F3","S14F4","S14F5","S14F6","S14F7","S15F1","S15F2","S15F3","S15F4","S15F5","S15F6","S15F7","S16F1","S16F2","S16F3","S16F4","S16F5","S16F6","S16F7","S17F1","S17F2","S17F3","S17F4","S17F5","S17F6","S17F7","S18F1","S18F2","S18F3","S18F4","S18F5","S18F6","S18F7","S01F1 (#1)","S01F2 (#1)","S01F3 (#1)","S01F4 (#1)","S01F5 (#1)","S01F6 (#1)","S01F7 (#1)","S02F1 (#1)","S02F2 (#1)","S02F3 (#1)","S02F4 (#1)","S02F5 (#1)","S02F6 (#1)","S02F7 (#1)","S03F1 (#1)","S03F2 (#1)","S03F3 (#1)","S03F4 (#1)","S03F5 (#1)","S03F6 (#1)","S03F7 (#1)","S04F1 (#1)","S04F2 (#1)","S04F3 (#1)","S04F4 (#1)","S04F5 (#1)","S04F6 (#1)","S04F7 (#1)","S05F1 (#1)","S05F2 (#1)","S05F3 (#1)","S05F4 (#1)","S05F5 (#1)","S05F6 (#1)","S05F7 (#1)","S06F1 (#1)","S06F2 (#1)","S06F3 (#1)","S06F4 (#1)","S06F5 (#1)","S06F6 (#1)","S06F7 (#1)","S07F1 (#1)","S07F2 (#1)","S07F3 (#1)","S07F4 (#1)","S07F5 (#1)","S07F6 (#1)","S07F7 (#1)","S08F1 (#1)","S08F2 (#1)","S08F3 (#1)","S08F4 (#1)","S08F5 (#1)","S08F6 (#1)","S08F7 (#1)","S09F1 (#1)","S09F2 (#1)","S09F3 (#1)","S09F4 (#1)","S09F5 (#1)","S09F6 (#1)","S09F7 (#1)","S10F1 (#1)","S10F2 (#1)","S10F3 (#1)","S10F4 (#1)","S10F5 (#1)","S10F6 (#1)","S10F7 (#1)","S11F1 (#1)","S11F2 (#1)","S11F3 (#1)","S11F4 (#1)","S11F5 (#1)","S11F6 (#1)","S11F7 (#1)","S12F1 (#1)","S12F2 (#1)","S12F3 (#1)","S12F4 (#1)","S12F5 (#1)","S12F6 (#1)","S12F7 (#1)","S13F1 (#1)","S13F2 (#1)","S13F3 (#1)","S13F4 (#1)","S13F5 (#1)","S13F6 (#1)","S13F7 (#1)","S14F1 (#1)","S14F2 (#1)","S14F3 (#1)","S14F4 (#1)","S14F5 (#1)","S14F6 (#1)","S14F7 (#1)","S15F1 (#1)","S15F2 (#1)","S15F3 (#1)","S15F4 (#1)","S15F5 (#1)","S15F6 (#1)","S15F7 (#1)","S16F1 (#1)","S16F2 (#1)","S16F3 (#1)","S16F4 (#1)","S16F5 (#1)","S16F6 (#1)","S16F7 (#1)","S17F1 (#1)","S17F2 (#1)","S17F3 (#1)","S17F4 (#1)","S17F5 (#1)","S17F6 (#1)","S17F7 (#1)","S18F1 (#1)","S18F2 (#1)","S18F3 (#1)","S18F4 (#1)","S18F5 (#1)","S18F6 (#1)","S18F7 (#1)","ID",1,10,100,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99,winner
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109,28,-3.5,14.5,0.86,0.63,2,144,8,-2.5,14.5,1,0.7,1,98,0,16,0,0.96,0.67,1,89,0,9,0,0.94,0.64,2,112,26,2,1,0.88,0.72,,,,,,,,,,,,,,,3,134.33,26.6,8,6.48,0.97,0.8,4,126.5,27.39,-2,8.34,0.97,0.72,4,116,18.64,-1.75,9.23,0.95,0.79,2,120,11,-6.5,8.5,0.98,0.82,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.003,0.012,0.012,0.004,0.008,0.005,0.004,0.003,0.005,0.012,0.003,0.005,0.004,0.003,0.005,0.011,0.007,0.021,0.015,0.005,0.008,0.009,0.011,0.004,0.013,0.004,0.004,0.011,0.008,0.006,0.003,0.010,0.005,0.008,0.004,0.012,0.007,0.004,0.004,0.008,0.006,0.007,0.004,0.004,0.004,0.008,0.004,0.008,0.005,0.008,0.016,0.004,0.008,0.007,0.006,0.003,0.007,0.005,0.006,0.005,0.140,0.008,0.003,0.012,0.013,0.007,0.003,0.004,0.007,0.005,0.009,0.005,0.005,0.026,0.005,0.003,0.005,0.003,0.012,0.008,0.009,0.007,0.013,0.004,0.010,0.008,0.008,0.003,0.007,0.007,0.009,0.007,0.006,0.010,0.021,0.005,0.008,0.007,0.004,0.005,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,104.18,32.38,0.99,13.86,0.84,0.63,,,,,,,,,,,,,,,,,,,,,,2,118.5,22.5,-0.1,0.5,0.87,0.72,1,141.29,0,3.65,0,0.91,0.72,2,107.07,11.07,-7.61,7.61,0.91,0.69,3,135.83,32.16,7.58,7.13,0.97,0.8,4,123.88,23.19,-1.05,9.66,0.97,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.006,0.004,0.006,0.012,0.006,0.007,0.004,0.006,0.005,0.012,0.003,0.005,0.009,0.011,0.005,0.009,0.003,0.007,0.005,0.005,0.008,0.008,0.009,0.003,0.011,0.009,0.005,0.005,0.005,0.008,0.008,0.005,0.003,0.005,0.004,0.010,0.010,0.007,0.006,0.013,0.012,0.004,0.004,0.007,0.003,0.004,0.004,0.004,0.004,0.005,0.009,0.003,0.010,0.012,0.007,0.003,0.005,0.005,0.012,0.012,0.123,0.011,0.006,0.004,0.003,0.004,0.004,0.004,0.005,0.004,0.007,0.006,0.010,0.018,0.005,0.002,0.010,0.006,0.008,0.014,0.006,0.011,0.006,0.012,0.012,0.013,0.015,0.007,0.004,0.003,0.007,0.005,0.009,0.011,0.004,0.010,0.009,0.011,0.003,0.005,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109.82,27.44,3.44,13.94,0.85,0.63,2,148.14,10.53,-0.88,9.65,0.99,0.7,1,95.8,0,13.89,0,0.95,0.68,2,121.78,29.34,6.71,8.98,0.97,0.69,1,86.37,0,5.31,0,0.91,0.7,1,130.25,0,-3.52,0,0.91,0.73,2,107.93,2.13,-12.25,5.19,0.92,0.68,3,136.29,29.95,5.14,7.08,0.96,0.81,3,131.58,15.18,1.27,11.37,0.96,0.72,,,,,,,,,,,,,,,1,107.94,0,23.48,0,0.95,0.61,1,103.25,0,-8.91,0,0.96,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.009,0.010,0.007,0.007,0.007,0.012,0.004,0.006,0.005,0.005,0.007,0.005,0.007,0.006,0.003,0.014,0.004,0.009,0.008,0.009,0.011,0.009,0.011,0.006,0.005,0.006,0.004,0.006,0.006,0.007,0.006,0.004,0.012,0.003,0.006,0.005,0.011,0.010,0.008,0.015,0.009,0.016,0.011,0.007,0.004,0.006,0.003,0.009,0.005,0.011,0.009,0.004,0.008,0.009,0.011,0.007,0.004,0.007,0.007,0.007,0.130,0.008,0.008,0.006,0.009,0.010,0.007,0.010,0.006,0.006,0.008,0.008,0.005,0.007,0.004,0.007,0.009,0.006,0.012,0.010,0.012,0.007,0.006,0.006,0.007,0.007,0.004,0.009,0.004,0.006,0.013,0.008,0.009,0.006,0.007,0.008,0.007,0.008,0.003,0.011,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.45,0,-11.02,0,0.81,0.61,,,,,,,,,,,,,,,,,,,,,,1,85.09,0,2.69,0,0.87,0.71,0,0,0,0,0,0,0,1,85.49,0,-24.17,0,0.91,0.74,2,133.94,29.26,8.07,10.88,0.96,0.82,4,134.51,21.67,-2.58,7.62,0.97,0.71,4,119.8,23.84,-1.88,10.92,0.95,0.79,,,,,,,,1,105,0,17.74,0,0.94,0.63,1,93.3,0,-17.46,0,0.97,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.002,0.012,0.005,0.014,0.008,0.016,0.009,0.003,0.007,0.011,0.003,0.004,0.003,0.009,0.006,0.007,0.003,0.006,0.006,0.012,0.010,0.011,0.009,0.004,0.018,0.005,0.004,0.008,0.005,0.006,0.010,0.008,0.005,0.003,0.011,0.015,0.008,0.005,0.012,0.014,0.007,0.009,0.006,0.003,0.010,0.013,0.004,0.014,0.005,0.005,0.014,0.005,0.004,0.014,0.010,0.008,0.011,0.005,0.008,0.009,0.094,0.006,0.007,0.006,0.007,0.015,0.003,0.006,0.007,0.010,0.006,0.003,0.003,0.009,0.005,0.008,0.013,0.009,0.009,0.015,0.012,0.004,0.008,0.005,0.009,0.004,0.005,0.004,0.006,0.004,0.010,0.006,0.004,0.012,0.007,0.003,0.007,0.012,0.003,0.007,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,113.38,21.23,-5.36,10.09,0.87,0.63,1,139.78,0,-17.92,0,1,0.69,2,129.53,15.51,17.59,4.03,0.89,0.7,,,,,,,,3,109.04,23.33,-2.52,4.22,0.9,0.69,1,126.32,0,4.09,0,0.91,0.71,2,105.19,16.38,-11.76,3.99,0.92,0.68,,,,,,,,5,121.75,27.27,1.61,11,0.97,0.7,5,116.58,19.5,2.61,11.83,0.95,0.77,2,115.08,10.94,-5.36,6.27,0.98,0.82,4,115.07,28.22,4.55,11.99,0.94,0.7,2,92.11,0.89,-0.63,14.63,0.95,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.012,0.005,0.009,0.005,0.009,0.010,0.007,0.009,0.004,0.007,0.008,0.004,0.005,0.005,0.005,0.006,0.013,0.004,0.006,0.009,0.011,0.008,0.014,0.006,0.009,0.005,0.004,0.009,0.006,0.005,0.004,0.002,0.004,0.006,0.005,0.011,0.008,0.004,0.007,0.008,0.005,0.007,0.010,0.003,0.004,0.005,0.004,0.013,0.007,0.008,0.014,0.003,0.012,0.006,0.010,0.003,0.008,0.008,0.006,0.008,0.136,0.004,0.002,0.008,0.012,0.010,0.011,0.004,0.009,0.011,0.008,0.012,0.011,0.012,0.010,0.011,0.004,0.005,0.006,0.010,0.006,0.008,0.003,0.003,0.014,0.006,0.013,0.008,0.010,0.006,0.008,0.005,0.005,0.018,0.009,0.004,0.011,0.008,0.008,0.005,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,109.71,24.1,-2.86,19.81,0.83,0.62,1,152.35,0,-15.22,0,0.99,0.7,3,129.36,22.59,6.97,10.34,0.92,0.68,1,83.36,0,10.37,0,0.96,0.65,2,119.11,22.02,2.4,0.04,0.88,0.71,4,131.33,26.77,3.01,10.79,0.92,0.74,2,102.61,2.92,-12.96,0.38,0.92,0.69,3,132.79,27.66,8.98,2.74,0.97,0.81,4,125.31,28.43,-1.09,7.12,0.97,0.72,5,119.29,18.96,1.11,12.76,0.95,0.78,4,115.93,23.97,1.93,9.52,0.98,0.78,2,95,10,10.87,6.87,0.94,0.72,2,103.66,2.66,-13.19,3.19,0.97,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0.008,0.004,0.007,0.003,0.008,0.007,0.004,0.004,0.003,0.012,0.005,0.008,0.009,0.008,0.006,0.005,0.008,0.004,0.006,0.003,0.010,0.008,0.011,0.010,0.004,0.008,0.009,0.006,0.008,0.004,0.007,0.004,0.007,0.011,0.007,0.015,0.011,0.005,0.012,0.011,0.005,0.003,0.006,0.004,0.002,0.004,0.003,0.010,0.007,0.009,0.006,0.003,0.009,0.012,0.006,0.007,0.014,0.005,0.009,0.009,0.151,0.012,0.003,0.006,0.008,0.005,0.011,0.011,0.006,0.008,0.010,0.011,0.004,0.012,0.006,0.008,0.006,0.009,0.012,0.006,0.005,0.007,0.008,0.007,0.010,0.006,0.008,0.009,0.007,0.010,0.013,0.010,0.006,0.008,0.009,0.007,0.007,0.007,0.003,0.007,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156,0,8,0,1,0.66,2,85,2,-12,2,0.87,0.59,4,121.25,18.59,1.25,10.33,0.87,0.71,7,113.43,22.56,3.43,10.13,0.93,0.68,2,127,26,-2.5,8.5,0.98,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.007,0.005,0.005,0.010,0.002,0.004,0.004,0.006,0.005,0.011,0.006,0.006,0.009,0.006,0.003,0.008,0.004,0.006,0.006,0.012,0.014,0.003,0.007,0.009,0.005,0.012,0.005,0.008,0.005,0.013,0.003,0.006,0.012,0.003,0.007,0.010,0.004,0.016,0.005,0.005,0.009,0.005,0.004,0.004,0.005,0.008,0.010,0.004,0.006,0.006,0.003,0.005,0.006,0.008,0.005,0.003,0.005,0.006,0.005,0.005,0.018,0.120,0.004,0.003,0.014,0.004,0.008,0.004,0.007,0.005,0.007,0.006,0.004,0.006,0.006,0.004,0.004,0.008,0.013,0.005,0.021,0.007,0.004,0.009,0.014,0.012,0.005,0.005,0.008,0.005,0.006,0.008,0.006,0.007,0.005,0.005,0.015,0.009,0.006,0.003,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,147.09,0,1.95,0,0.99,0.65,2,83.65,8.7,-18.16,0.51,0.85,0.59,,,,,,,,,,,,,,,,,,,,,,3,139.42,15.74,1.63,13.27,0.89,0.81,2,87.34,0.75,-5.72,8.32,0.91,0.76,3,132.99,23.6,0.7,7.96,0.96,0.69,3,105.66,8.12,6.01,14.74,0.97,0.8,6,111.22,31.25,1.13,13.54,0.95,0.75,,,,,,,,,,,,,,,2,130.25,4.25,3.28,5.28,0.96,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.007,0.005,0.008,0.005,0.012,0.007,0.005,0.008,0.015,0.009,0.013,0.010,0.008,0.009,0.007,0.006,0.004,0.005,0.004,0.005,0.010,0.004,0.006,0.008,0.007,0.004,0.006,0.007,0.004,0.005,0.003,0.007,0.009,0.008,0.005,0.011,0.008,0.004,0.006,0.005,0.009,0.004,0.012,0.005,0.004,0.014,0.010,0.007,0.005,0.009,0.006,0.004,0.004,0.006,0.015,0.008,0.008,0.006,0.008,0.011,0.015,0.145,0.008,0.004,0.014,0.004,0.006,0.008,0.008,0.006,0.006,0.013,0.004,0.005,0.006,0.007,0.005,0.006,0.008,0.006,0.011,0.008,0.009,0.007,0.007,0.005,0.003,0.005,0.008,0.003,0.005,0.005,0.005,0.005,0.014,0.005,0.005,0.009,0.004,0.004,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95.36,4.56,-10.75,3.15,0.88,0.59,3,124.76,11.15,8.46,10.87,0.87,0.74,4,106.4,25.26,6.56,15.23,0.95,0.68,1,151.4,0,4.17,0,0.86,0.74,2,168.55,7.53,-1.59,15.39,0.89,0.78,2,95.71,1.34,-7.31,5.54,0.91,0.76,2,120.64,31.95,1.72,8.85,0.95,0.69,3,106.61,11.62,3.58,11.86,0.97,0.8,5,115.76,28.11,-9.65,12.72,0.97,0.76,3,114.15,15.15,2.72,14.19,0.98,0.63,5,123.1,25.04,-3.82,9.03,0.98,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.007,0.005,0.009,0.006,0.009,0.016,0.004,0.013,0.011,0.005,0.003,0.004,0.021,0.005,0.004,0.013,0.005,0.008,0.004,0.008,0.005,0.008,0.018,0.007,0.013,0.009,0.005,0.004,0.007,0.004,0.007,0.007,0.003,0.005,0.014,0.007,0.011,0.012,0.004,0.006,0.007,0.010,0.008,0.005,0.005,0.005,0.008,0.003,0.005,0.004,0.006,0.006,0.019,0.010,0.005,0.010,0.008,0.005,0.013,0.003,0.011,0.136,0.009,0.003,0.008,0.006,0.007,0.006,0.008,0.013,0.012,0.007,0.007,0.011,0.008,0.004,0.004,0.009,0.012,0.006,0.013,0.011,0.005,0.008,0.011,0.010,0.005,0.005,0.010,0.006,0.004,0.006,0.005,0.007,0.008,0.005,0.005,0.005,0.007,0.010,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106.28,29.62,-4.5,7.12,0.83,0.6,4,122.48,12.25,2.54,9.19,0.87,0.71,7,112.16,20.34,2.62,12.65,0.93,0.69,2,120.37,26.37,-7,7.61,0.99,0.77,2,152.62,1.74,0.53,12.49,0.89,0.77,3,106.01,21.22,-4.6,5.36,0.91,0.77,,,,,,,,,,,,,,,,,,,,,,4,116.37,16.55,-3.07,12.8,0.98,0.64,5,117.12,30.04,4.73,5.14,0.98,0.72,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.007,0.010,0.009,0.003,0.005,0.007,0.004,0.003,0.005,0.006,0.011,0.018,0.015,0.005,0.010,0.006,0.005,0.010,0.006,0.007,0.009,0.008,0.006,0.005,0.007,0.007,0.003,0.005,0.005,0.007,0.004,0.006,0.005,0.007,0.005,0.004,0.005,0.005,0.008,0.009,0.008,0.008,0.015,0.009,0.003,0.002,0.011,0.003,0.009,0.005,0.003,0.005,0.011,0.009,0.008,0.003,0.005,0.012,0.008,0.012,0.005,0.137,0.003,0.008,0.014,0.005,0.014,0.004,0.010,0.005,0.010,0.004,0.009,0.012,0.009,0.007,0.004,0.017,0.007,0.005,0.006,0.004,0.008,0.004,0.007,0.009,0.008,0.005,0.008,0.007,0.009,0.013,0.004,0.008,0.009,0.006,0.009,0.006,0.009,0.007,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6,106.62,22.18,2.32,12.07,0.92,0.67,2,122.99,29.79,-3.63,7.32,0.99,0.78,2,147.54,3.79,-1.82,9.41,0.89,0.77,1,87.28,0,-4.6,0,0.91,0.84,,,,,,,,3,110.64,7.88,5.36,14.79,0.98,0.79,6,113.14,26.47,-3.74,13.44,0.96,0.76,3,120.52,24,-1.19,11.46,0.98,0.63,5,120.03,30.05,-4.85,10.09,0.97,0.73,1,149.66,0,5.37,0,0.94,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.003,0.005,0.012,0.004,0.003,0.015,0.008,0.003,0.005,0.006,0.006,0.012,0.008,0.006,0.012,0.007,0.003,0.009,0.005,0.008,0.004,0.004,0.008,0.006,0.007,0.007,0.009,0.005,0.010,0.007,0.008,0.008,0.011,0.005,0.008,0.007,0.007,0.004,0.006,0.007,0.006,0.007,0.005,0.008,0.003,0.008,0.005,0.004,0.005,0.004,0.004,0.009,0.004,0.006,0.015,0.005,0.008,0.005,0.013,0.007,0.008,0.135,0.003,0.002,0.012,0.006,0.006,0.007,0.010,0.008,0.006,0.008,0.003,0.007,0.016,0.005,0.006,0.007,0.011,0.006,0.012,0.007,0.004,0.007,0.014,0.008,0.007,0.008,0.007,0.012,0.009,0.017,0.008,0.006,0.011,0.009,0.006,0.011,0.011,0.012,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163.62,0,8.08,0,1,0.65,3,99.33,15.65,-6.07,2.54,0.92,0.65,,,,,,,,,,,,,,,2,129.38,11.66,-4.2,13.98,0.99,0.77,3,151.93,5.7,-6.65,13.3,0.93,0.8,2,93.95,2.24,-7.43,11.01,0.9,0.76,,,,,,,,3,117.52,8.99,6.02,12.1,0.98,0.79,6,110.86,24.21,-0.8,16.47,0.96,0.76,4,126.3,26.95,-2.62,10.24,0.98,0.64,6,122.37,24,0.06,6.1,0.98,0.73,1,125,0,4,0,0.95,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0.003,0.006,0.010,0.004,0.006,0.011,0.004,0.004,0.008,0.013,0.004,0.008,0.004,0.006,0.005,0.007,0.005,0.006,0.006,0.008,0.006,0.007,0.007,0.008,0.006,0.009,0.011,0.009,0.005,0.010,0.004,0.006,0.012,0.004,0.007,0.007,0.004,0.006,0.006,0.006,0.005,0.005,0.005,0.008,0.004,0.008,0.004,0.007,0.006,0.008,0.011,0.004,0.009,0.005,0.014,0.004,0.007,0.005,0.011,0.006,0.008,0.143,0.004,0.009,0.010,0.008,0.003,0.006,0.008,0.008,0.009,0.009,0.004,0.014,0.008,0.011,0.005,0.013,0.013,0.009,0.006,0.006,0.003,0.016,0.007,0.009,0.007,0.004,0.010,0.010,0.004,0.007,0.007,0.008,0.009,0.010,0.013,0.009,0.006,0.006,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107,0,1,0,0.96,0.7,,,,,,,,,,,,,,,3,111.67,18.73,6.67,9.18,0.89,0.76,0,0,0,0,0,0,0,2,144,5,-2.5,16.5,0.95,0.75,2,124,21,-4,3,0.95,0.74,0,0,0,0,0,0,0,1,144,0,6,0,0.95,0.74,3,96,10.8,1.33,9.81,0.96,0.66,3,115.67,11.81,3.33,13.7,0.97,0.66,1,93,0,8,0,0.94,0.72,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0.002,0.003,0.004,0.007,0.002,0.005,0.007,0.009,0.003,0.004,0.003,0.004,0.005,0.016,0.004,0.014,0.010,0.003,0.007,0.007,0.018,0.016,0.008,0.005,0.004,0.006,0.004,0.006,0.009,0.004,0.014,0.010,0.009,0.007,0.010,0.007,0.011,0.010,0.006,0.007,0.010,0.013,0.012,0.012,0.014,0.013,0.007,0.013,0.004,0.008,0.014,0.007,0.011,0.011,0.005,0.010,0.006,0.010,0.006,0.007,0.007,0.003,0.120,0.007,0.004,0.011,0.003,0.008,0.005,0.008,0.007,0.003,0.005,0.004,0.003,0.007,0.005,0.013,0.010,0.009,0.006,0.010,0.005,0.015,0.007,0.007,0.005,0.009,0.003,0.008,0.014,0.004,0.004,0.005,0.006,0.005,0.007,0.006,0.004,0.004,65
